id,delivery_method,customer_id,order_date,ship_date,status,payment_type
150,Pickup,1539,2025-08-04,2025-08-08,Shipped,Bank Transfer
151,Express,818,2024-12-21,2024-12-27,Delivered,Card
152,Standard,1218,2024-07-07,2024-07-12,Pending,Bank Transfer
153,Express,86,2025-06-02,2025-06-07,Pending,Cash on Delivery
154,Standard,1666,2025-05-28,2025-06-02,Shipped,Card
155,Express,280,2025-01-09,2025-01-11,Pending,Cash on Delivery
156,Pickup,141,2025-05-29,2025-06-01,Pending,Bank Transfer
157,Pickup,1769,2025-03-11,2025-03-14,Delivered,Card
158,Standard,1138,2024-09-03,2024-09-09,Shipped,Card
159,Pickup,1126,2025-08-13,2025-08-16,Pending,Bank Transfer
160,Express,1497,2025-05-01,2025-05-07,Pending,Cash on Delivery
161,Express,653,2025-07-30,2025-08-06,Shipped,Bank Transfer
162,Express,1204,2025-06-06,2025-06-12,Delivered,Cash on Delivery
163,Express,397,2025-07-02,2025-07-08,Delivered,Cash on Delivery
164,Standard,1769,2024-02-06,2024-02-08,Delivered,Bank Transfer
165,Standard,1498,2025-04-24,2025-04-28,Shipped,Bank Transfer
166,Standard,1181,2025-07-28,2025-07-30,Shipped,Bank Transfer
167,Pickup,580,2025-06-07,2025-06-11,Delivered,Card
168,Standard,632,2024-01-16,2024-01-23,Shipped,Card
169,Pickup,1454,2025-07-13,2025-07-20,Pending,Bank Transfer
170,Express,1042,2025-07-23,2025-07-30,Shipped,Bank Transfer
171,Pickup,1414,2025-08-07,2025-08-12,Delivered,Bank Transfer
172,Pickup,1344,2025-07-20,2025-07-27,Delivered,Card
173,Pickup,1451,2025-05-23,2025-05-30,Pending,Card
174,Pickup,250,2025-06-21,2025-06-27,Delivered,Bank Transfer
175,Express,1615,2024-11-27,2024-11-30,Pending,Cash on Delivery
176,Standard,1018,2025-06-25,2025-07-01,Delivered,Card
177,Standard,905,2025-01-06,2025-01-13,Delivered,Cash on Delivery
178,Pickup,201,2025-01-07,2025-01-11,Pending,Cash on Delivery
179,Standard,1607,2024-11-03,2024-11-05,Delivered,Cash on Delivery
180,Express,160,2025-07-17,2025-07-24,Delivered,Card
181,Standard,370,2025-07-10,2025-07-14,Shipped,Card
182,Standard,444,2025-04-08,2025-04-13,Delivered,Bank Transfer
183,Pickup,1,2024-04-24,2024-04-29,Delivered,Card
184,Express,644,2024-01-05,2024-01-08,Pending,Cash on Delivery
185,Pickup,303,2025-03-06,2025-03-10,Shipped,Card
186,Express,1171,2025-02-10,2025-02-17,Shipped,Bank Transfer
187,Express,1293,2025-07-15,2025-07-21,Shipped,Cash on Delivery
188,Pickup,1863,2025-05-29,2025-06-03,Pending,Card
189,Express,1068,2024-07-08,2024-07-14,Delivered,Card
190,Pickup,134,2025-05-31,2025-06-05,Shipped,Card
191,Standard,1681,2025-03-05,2025-03-12,Delivered,Cash on Delivery
192,Standard,1142,2025-07-15,2025-07-22,Pending,Cash on Delivery
193,Standard,1998,2025-07-12,2025-07-15,Pending,Cash on Delivery
194,Express,1326,2025-06-18,2025-06-22,Pending,Cash on Delivery
195,Express,74,2025-08-13,2025-08-17,Pending,Cash on Delivery
196,Standard,965,2025-07-01,2025-07-08,Shipped,Bank Transfer
197,Express,1023,2025-07-02,2025-07-05,Pending,Bank Transfer
198,Pickup,1299,2024-06-20,2024-06-26,Delivered,Card
199,Standard,1168,2024-04-28,2024-05-04,Pending,Card
200,Pickup,796,2024-12-17,2024-12-20,Delivered,Cash on Delivery
201,Pickup,201,2025-03-30,2025-04-05,Shipped,Card
202,Pickup,1827,2023-11-15,2023-11-18,Delivered,Bank Transfer
203,Standard,884,2025-08-09,2025-08-11,Shipped,Bank Transfer
204,Standard,662,2025-04-12,2025-04-16,Pending,Card
205,Pickup,583,2025-06-30,2025-07-03,Pending,Card
206,Pickup,1652,2025-08-13,2025-08-19,Delivered,Card
207,Express,1932,2024-09-03,2024-09-05,Shipped,Card
208,Pickup,844,2024-08-02,2024-08-07,Pending,Card
209,Pickup,929,2025-02-23,2025-02-26,Pending,Card
210,Standard,1661,2025-06-08,2025-06-11,Shipped,Bank Transfer
211,Standard,476,2025-07-25,2025-08-01,Shipped,Bank Transfer
212,Standard,1694,2024-12-18,2024-12-22,Delivered,Cash on Delivery
213,Standard,1704,2024-12-03,2024-12-05,Shipped,Bank Transfer
214,Standard,1450,2024-09-29,2024-10-03,Delivered,Card
215,Pickup,1232,2025-07-26,2025-08-01,Shipped,Card
216,Pickup,91,2025-02-16,2025-02-20,Pending,Card
217,Pickup,504,2025-03-25,2025-03-29,Pending,Cash on Delivery
218,Pickup,1763,2024-11-15,2024-11-19,Pending,Card
219,Standard,1864,2025-07-11,2025-07-14,Shipped,Cash on Delivery
220,Standard,121,2024-09-15,2024-09-18,Pending,Cash on Delivery
221,Pickup,1823,2025-01-10,2025-01-14,Delivered,Cash on Delivery
222,Express,525,2025-05-26,2025-06-01,Delivered,Card
223,Standard,498,2025-05-04,2025-05-07,Pending,Bank Transfer
224,Standard,1553,2025-08-06,2025-08-11,Shipped,Bank Transfer
225,Express,1391,2024-10-14,2024-10-16,Pending,Cash on Delivery
226,Pickup,1549,2024-12-22,2024-12-28,Delivered,Bank Transfer
227,Express,1492,2024-05-24,2024-05-29,Shipped,Bank Transfer
228,Pickup,601,2025-02-06,2025-02-11,Shipped,Card
229,Pickup,130,2024-11-20,2024-11-26,Shipped,Cash on Delivery
230,Express,804,2025-01-01,2025-01-05,Pending,Bank Transfer
231,Pickup,1148,2025-07-28,2025-08-04,Pending,Bank Transfer
232,Pickup,1720,2024-06-20,2024-06-24,Delivered,Cash on Delivery
233,Pickup,1380,2024-07-22,2024-07-24,Pending,Bank Transfer
234,Standard,653,2025-05-04,2025-05-09,Shipped,Bank Transfer
235,Pickup,1725,2025-05-29,2025-06-04,Delivered,Cash on Delivery
236,Standard,2,2025-05-27,2025-05-30,Shipped,Card
237,Express,445,2025-03-10,2025-03-16,Pending,Card
238,Pickup,1871,2024-11-11,2024-11-15,Pending,Card
239,Express,353,2025-07-07,2025-07-09,Shipped,Bank Transfer
240,Express,1991,2024-08-30,2024-09-04,Delivered,Card
241,Pickup,1576,2024-12-18,2024-12-21,Shipped,Cash on Delivery
242,Standard,882,2025-01-20,2025-01-26,Pending,Bank Transfer
243,Express,592,2025-07-19,2025-07-23,Delivered,Bank Transfer
244,Pickup,1376,2024-10-12,2024-10-18,Pending,Cash on Delivery
245,Standard,1615,2024-11-17,2024-11-21,Shipped,Cash on Delivery
246,Standard,577,2025-05-04,2025-05-07,Pending,Card
247,Pickup,744,2025-07-01,2025-07-06,Delivered,Card
248,Pickup,106,2025-04-23,2025-04-29,Delivered,Cash on Delivery
249,Standard,637,2024-08-25,2024-08-31,Shipped,Cash on Delivery
250,Express,234,2024-11-29,2024-12-05,Shipped,Bank Transfer
251,Express,1615,2024-07-26,2024-07-30,Shipped,Cash on Delivery
252,Pickup,215,2025-05-12,2025-05-14,Shipped,Bank Transfer
253,Standard,1584,2024-04-17,2024-04-21,Delivered,Cash on Delivery
254,Pickup,345,2024-05-22,2024-05-25,Delivered,Card
255,Pickup,1328,2024-12-14,2024-12-16,Shipped,Bank Transfer
256,Pickup,1352,2024-09-09,2024-09-11,Delivered,Card
257,Express,1440,2025-06-25,2025-06-28,Shipped,Bank Transfer
258,Standard,143,2025-08-04,2025-08-06,Pending,Bank Transfer
259,Standard,1275,2024-10-17,2024-10-22,Shipped,Cash on Delivery
260,Express,777,2024-10-03,2024-10-05,Delivered,Bank Transfer
261,Express,721,2025-01-22,2025-01-29,Delivered,Cash on Delivery
262,Express,761,2025-06-12,2025-06-16,Pending,Bank Transfer
263,Express,666,2025-03-30,2025-04-01,Delivered,Bank Transfer
264,Express,622,2025-05-22,2025-05-27,Shipped,Cash on Delivery
265,Standard,1859,2025-03-04,2025-03-07,Delivered,Bank Transfer
266,Standard,1151,2025-05-07,2025-05-11,Pending,Cash on Delivery
267,Standard,809,2025-06-06,2025-06-11,Shipped,Cash on Delivery
268,Pickup,981,2024-10-10,2024-10-15,Shipped,Cash on Delivery
269,Pickup,208,2025-07-26,2025-08-01,Shipped,Cash on Delivery
270,Express,824,2025-06-07,2025-06-14,Delivered,Card
271,Express,1035,2025-01-07,2025-01-13,Shipped,Bank Transfer
272,Express,1713,2025-04-21,2025-04-28,Delivered,Card
273,Standard,1556,2025-05-17,2025-05-19,Shipped,Card
274,Standard,1238,2025-05-24,2025-05-30,Delivered,Card
275,Standard,1456,2024-12-16,2024-12-23,Pending,Bank Transfer
276,Standard,992,2025-07-24,2025-07-29,Pending,Bank Transfer
277,Express,1290,2025-01-24,2025-01-26,Delivered,Bank Transfer
278,Pickup,290,2024-04-20,2024-04-26,Shipped,Card
279,Pickup,1619,2025-06-09,2025-06-12,Pending,Cash on Delivery
280,Express,597,2024-10-19,2024-10-25,Shipped,Card
281,Standard,272,2025-05-17,2025-05-19,Delivered,Cash on Delivery
282,Standard,925,2024-04-28,2024-05-05,Pending,Cash on Delivery
283,Standard,1214,2024-05-27,2024-05-31,Delivered,Card
284,Standard,1619,2024-10-30,2024-11-02,Shipped,Cash on Delivery
285,Pickup,1371,2025-08-10,2025-08-17,Pending,Cash on Delivery
286,Pickup,680,2025-07-25,2025-08-01,Shipped,Cash on Delivery
287,Standard,1788,2025-07-02,2025-07-06,Shipped,Cash on Delivery
288,Express,1183,2024-08-09,2024-08-11,Delivered,Bank Transfer
289,Express,1812,2025-08-07,2025-08-11,Pending,Cash on Delivery
290,Express,1136,2025-01-26,2025-02-02,Delivered,Bank Transfer
291,Standard,527,2025-06-19,2025-06-23,Shipped,Cash on Delivery
292,Standard,1686,2025-01-25,2025-01-27,Shipped,Card
293,Standard,1446,2024-11-18,2024-11-24,Delivered,Card
294,Standard,1272,2024-12-30,2025-01-06,Delivered,Card
295,Standard,117,2025-06-07,2025-06-14,Shipped,Cash on Delivery
296,Express,1671,2025-01-05,2025-01-07,Pending,Cash on Delivery
297,Express,356,2024-09-24,2024-09-30,Delivered,Cash on Delivery
298,Pickup,1807,2025-07-24,2025-07-29,Delivered,Cash on Delivery
299,Pickup,1976,2024-07-21,2024-07-27,Shipped,Card
300,Standard,404,2024-12-20,2024-12-27,Pending,Bank Transfer
301,Standard,776,2024-08-30,2024-09-03,Pending,Cash on Delivery
302,Standard,1411,2025-03-29,2025-03-31,Delivered,Card
303,Express,1056,2025-06-23,2025-06-27,Shipped,Bank Transfer
304,Pickup,483,2024-10-23,2024-10-25,Shipped,Bank Transfer
305,Standard,1397,2025-04-24,2025-04-29,Pending,Bank Transfer
306,Express,1406,2025-05-14,2025-05-21,Delivered,Bank Transfer
307,Standard,999,2025-04-07,2025-04-13,Pending,Card
308,Express,1628,2024-10-02,2024-10-06,Delivered,Bank Transfer
309,Express,1280,2025-07-23,2025-07-26,Pending,Bank Transfer
310,Pickup,827,2023-12-22,2023-12-24,Pending,Bank Transfer
311,Express,495,2025-06-16,2025-06-20,Shipped,Cash on Delivery
312,Express,1657,2025-03-25,2025-03-27,Delivered,Card
313,Express,1718,2024-12-21,2024-12-25,Shipped,Cash on Delivery
314,Pickup,1583,2024-12-05,2024-12-09,Pending,Bank Transfer
315,Standard,1025,2024-09-27,2024-10-01,Shipped,Card
316,Express,911,2025-03-19,2025-03-25,Pending,Cash on Delivery
317,Standard,1404,2025-05-23,2025-05-29,Delivered,Cash on Delivery
318,Standard,1009,2024-07-19,2024-07-25,Pending,Bank Transfer
319,Pickup,638,2025-08-07,2025-08-12,Delivered,Bank Transfer
320,Pickup,464,2024-06-21,2024-06-25,Delivered,Bank Transfer
321,Pickup,163,2025-06-03,2025-06-06,Delivered,Bank Transfer
322,Express,267,2024-10-19,2024-10-24,Shipped,Card
323,Standard,1917,2024-10-11,2024-10-17,Pending,Card
324,Express,735,2024-05-01,2024-05-07,Shipped,Cash on Delivery
325,Standard,485,2024-11-06,2024-11-11,Delivered,Cash on Delivery
326,Pickup,86,2025-06-06,2025-06-08,Shipped,Cash on Delivery
327,Pickup,430,2025-08-14,2025-08-18,Delivered,Cash on Delivery
328,Standard,1699,2025-07-18,2025-07-20,Shipped,Cash on Delivery
329,Standard,108,2025-05-27,2025-05-31,Pending,Bank Transfer
330,Express,223,2025-07-01,2025-07-07,Shipped,Bank Transfer
331,Express,1288,2025-07-01,2025-07-04,Delivered,Cash on Delivery
332,Express,1677,2025-05-02,2025-05-08,Delivered,Cash on Delivery
333,Pickup,660,2025-01-22,2025-01-25,Delivered,Cash on Delivery
334,Standard,1863,2025-06-09,2025-06-16,Shipped,Cash on Delivery
335,Pickup,1182,2025-03-09,2025-03-14,Shipped,Card
336,Express,1475,2025-06-24,2025-06-27,Shipped,Cash on Delivery
337,Pickup,23,2025-08-10,2025-08-16,Pending,Cash on Delivery
338,Express,441,2025-03-31,2025-04-04,Shipped,Card
339,Express,435,2025-07-24,2025-07-31,Pending,Card
340,Standard,1043,2025-08-03,2025-08-08,Shipped,Card
341,Pickup,370,2024-04-27,2024-05-04,Shipped,Bank Transfer
342,Standard,468,2024-11-17,2024-11-21,Shipped,Bank Transfer
343,Express,1934,2025-07-30,2025-08-04,Delivered,Bank Transfer
344,Standard,231,2025-07-10,2025-07-17,Shipped,Card
345,Express,915,2024-06-02,2024-06-08,Shipped,Cash on Delivery
346,Standard,1901,2025-04-12,2025-04-14,Shipped,Bank Transfer
347,Standard,1887,2025-04-21,2025-04-26,Pending,Cash on Delivery
348,Standard,931,2025-01-03,2025-01-09,Delivered,Bank Transfer
349,Standard,1823,2025-07-03,2025-07-09,Delivered,Cash on Delivery
350,Standard,1980,2024-03-23,2024-03-25,Delivered,Card
351,Pickup,375,2024-10-15,2024-10-21,Delivered,Cash on Delivery
352,Pickup,1420,2025-05-23,2025-05-29,Pending,Cash on Delivery
353,Express,658,2025-04-20,2025-04-24,Pending,Cash on Delivery
354,Express,1060,2025-07-22,2025-07-29,Delivered,Card
355,Express,1089,2024-12-11,2024-12-15,Shipped,Bank Transfer
356,Pickup,1587,2025-01-14,2025-01-16,Delivered,Card
357,Standard,622,2025-07-19,2025-07-22,Delivered,Card
358,Standard,780,2024-11-24,2024-11-27,Delivered,Bank Transfer
359,Standard,887,2025-03-19,2025-03-22,Delivered,Bank Transfer
360,Pickup,82,2025-08-13,2025-08-20,Shipped,Bank Transfer
361,Express,103,2024-05-13,2024-05-19,Pending,Bank Transfer
362,Standard,1833,2024-12-24,2024-12-28,Delivered,Bank Transfer
363,Pickup,123,2025-04-30,2025-05-02,Delivered,Bank Transfer
364,Pickup,1539,2025-08-06,2025-08-12,Shipped,Card
365,Express,1879,2024-10-16,2024-10-18,Pending,Bank Transfer
366,Standard,1769,2025-05-11,2025-05-14,Delivered,Cash on Delivery
367,Pickup,1736,2024-06-08,2024-06-10,Shipped,Bank Transfer
368,Standard,637,2024-08-24,2024-08-28,Pending,Card
369,Express,457,2024-05-22,2024-05-24,Delivered,Card
370,Express,536,2024-11-10,2024-11-14,Shipped,Cash on Delivery
371,Pickup,1847,2025-04-22,2025-04-28,Shipped,Card
372,Pickup,1309,2025-06-21,2025-06-25,Pending,Cash on Delivery
373,Express,58,2025-08-12,2025-08-19,Pending,Cash on Delivery
374,Express,1281,2024-05-17,2024-05-20,Pending,Cash on Delivery
375,Pickup,1437,2024-12-04,2024-12-08,Shipped,Cash on Delivery
376,Pickup,1946,2024-07-14,2024-07-16,Pending,Cash on Delivery
377,Standard,1381,2024-11-07,2024-11-12,Shipped,Card
378,Express,146,2025-04-09,2025-04-15,Shipped,Cash on Delivery
379,Standard,1673,2025-02-11,2025-02-15,Pending,Cash on Delivery
380,Pickup,693,2025-02-21,2025-02-26,Shipped,Cash on Delivery
381,Express,689,2024-01-31,2024-02-02,Shipped,Bank Transfer
382,Pickup,1216,2025-04-24,2025-04-28,Pending,Card
383,Pickup,283,2025-02-22,2025-02-27,Pending,Cash on Delivery
384,Standard,724,2025-03-18,2025-03-22,Shipped,Card
385,Standard,531,2025-06-26,2025-06-30,Delivered,Card
386,Standard,1558,2025-07-17,2025-07-23,Pending,Bank Transfer
387,Standard,1177,2025-06-21,2025-06-27,Shipped,Bank Transfer
388,Express,460,2024-03-16,2024-03-23,Delivered,Bank Transfer
389,Pickup,888,2025-05-28,2025-06-04,Shipped,Bank Transfer
390,Express,715,2025-02-17,2025-02-20,Shipped,Bank Transfer
391,Express,235,2024-05-27,2024-05-29,Shipped,Cash on Delivery
392,Standard,1909,2025-06-20,2025-06-27,Pending,Card
393,Pickup,199,2025-05-20,2025-05-23,Shipped,Cash on Delivery
394,Pickup,1122,2025-05-07,2025-05-12,Delivered,Bank Transfer
395,Pickup,1071,2024-09-18,2024-09-23,Shipped,Cash on Delivery
396,Standard,1350,2025-01-03,2025-01-05,Delivered,Card
397,Standard,1939,2025-05-19,2025-05-22,Delivered,Bank Transfer
398,Express,812,2024-01-22,2024-01-29,Shipped,Cash on Delivery
399,Standard,252,2025-08-13,2025-08-18,Delivered,Card
400,Express,926,2025-08-04,2025-08-10,Delivered,Bank Transfer
401,Express,306,2024-12-18,2024-12-22,Pending,Card
402,Standard,926,2025-07-19,2025-07-23,Delivered,Bank Transfer
403,Standard,1663,2024-08-05,2024-08-08,Pending,Card
404,Pickup,1276,2024-08-01,2024-08-03,Pending,Cash on Delivery
405,Pickup,219,2024-08-22,2024-08-29,Delivered,Bank Transfer
406,Standard,905,2025-01-15,2025-01-21,Shipped,Card
407,Standard,1030,2025-08-09,2025-08-15,Delivered,Bank Transfer
408,Express,1493,2025-02-28,2025-03-02,Pending,Card
409,Express,244,2024-06-09,2024-06-16,Pending,Bank Transfer
410,Pickup,584,2025-08-12,2025-08-16,Delivered,Card
