id_pedido,id_cliente,fecha_pedido,fecha_envio,metodo_pago,estado_pedido,metodo_envio
36,495,31/12/2024,06/01/2025,Tarjeta,Enviado,Express
37,29,31/12/2023,03/01/2024,Transferencia,Entregado,Estandar
38,1619,09/07/2025,12/07/2025,Tarjeta,Pendiente,Express
39,1461,26/07/2025,28/07/2025,Transferencia,Entregado,Recogida
40,1494,15/02/2025,22/02/2025,Contra reembolso,Pendiente,Estandar
41,40,26/04/2025,29/04/2025,Tarjeta,Enviado,Estandar
42,1200,23/03/2025,29/03/2025,Tarjeta,Pendiente,Estandar
43,2461,03/04/2024,05/04/2024,Tarjeta,Enviado,Estandar
44,292,24/03/2025,29/03/2025,Transferencia,Entregado,Express
45,486,03/11/2024,07/11/2024,Transferencia,Enviado,Express
46,501,13/09/2024,17/09/2024,Transferencia,Pendiente,Recogida
47,2019,11/08/2025,15/08/2025,Tarjeta,Pendiente,Estandar
48,931,26/09/2024,03/10/2024,Transferencia,Pendiente,Estandar
49,151,03/04/2025,07/04/2025,Tarjeta,Enviado,Estandar
50,2049,04/05/2025,09/05/2025,Tarjeta,Enviado,Express
51,1994,18/07/2024,22/07/2024,Transferencia,Pendiente,Recogida
52,1215,15/05/2025,17/05/2025,Transferencia,Entregado,Express
53,762,04/02/2025,10/02/2025,Contra reembolso,Enviado,Estandar
54,846,10/09/2024,14/09/2024,Tarjeta,Entregado,Recogida
55,1665,21/12/2024,28/12/2024,Contra reembolso,Pendiente,Express
56,2474,24/07/2025,27/07/2025,Transferencia,Pendiente,Recogida
57,1318,18/07/2025,23/07/2025,Transferencia,Pendiente,Recogida
58,114,29/05/2025,01/06/2025,Contra reembolso,Enviado,Estandar
59,845,22/06/2025,25/06/2025,Tarjeta,Entregado,Estandar
60,1904,20/11/2024,24/11/2024,Contra reembolso,Enviado,Express
61,2267,19/03/2025,22/03/2025,Tarjeta,Enviado,Estandar
62,33,18/05/2025,21/05/2025,Contra reembolso,Pendiente,Estandar
63,2330,18/07/2025,24/07/2025,Tarjeta,Pendiente,Express
64,2238,13/05/2025,15/05/2025,Tarjeta,Enviado,Express
65,330,25/12/2024,30/12/2024,Tarjeta,Enviado,Estandar
66,752,22/07/2025,26/07/2025,Transferencia,Enviado,Recogida
67,1817,23/12/2024,28/12/2024,Tarjeta,Entregado,Estandar
68,2477,07/07/2025,10/07/2025,Tarjeta,Enviado,Recogida
69,2346,03/06/2025,05/06/2025,Transferencia,Pendiente,Express
70,244,13/12/2024,16/12/2024,Transferencia,Entregado,Express
71,2402,18/01/2025,22/01/2025,Tarjeta,Enviado,Recogida
72,12,13/08/2025,18/08/2025,Contra reembolso,Enviado,Express
73,680,08/12/2024,11/12/2024,Tarjeta,Enviado,Express
74,2396,14/04/2024,17/04/2024,Tarjeta,Pendiente,Express
75,276,04/01/2024,06/01/2024,Tarjeta,Enviado,Recogida
76,137,28/06/2025,01/07/2025,Transferencia,Entregado,Recogida
77,542,01/11/2024,03/11/2024,Contra reembolso,Pendiente,Express
78,2452,01/07/2025,06/07/2025,Transferencia,Entregado,Recogida
79,2439,02/06/2025,06/06/2025,Contra reembolso,Pendiente,Recogida
80,741,11/07/2025,16/07/2025,Transferencia,Pendiente,Recogida
81,1735,19/11/2024,23/11/2024,Transferencia,Enviado,Estandar
82,2184,26/06/2025,30/06/2025,Transferencia,Pendiente,Express
83,258,19/04/2025,23/04/2025,Contra reembolso,Pendiente,Express
84,1227,19/09/2024,22/09/2024,Contra reembolso,Pendiente,Recogida
85,629,19/03/2025,21/03/2025,Contra reembolso,Entregado,Estandar
86,31,03/08/2025,07/08/2025,Contra reembolso,Enviado,Express
87,2354,01/03/2024,04/03/2024,Tarjeta,Pendiente,Estandar
88,2129,21/06/2024,25/06/2024,Contra reembolso,Entregado,Express
89,2081,26/06/2025,30/06/2025,Transferencia,Enviado,Estandar
90,1436,27/06/2025,29/06/2025,Tarjeta,Entregado,Estandar
91,1685,21/08/2024,24/08/2024,Contra reembolso,Enviado,Estandar
92,1007,20/09/2024,24/09/2024,Tarjeta,Enviado,Recogida
93,1404,28/06/2025,30/06/2025,Contra reembolso,Enviado,Express
94,949,03/07/2025,09/07/2025,Tarjeta,Pendiente,Recogida
95,823,04/10/2024,10/10/2024,Contra reembolso,Pendiente,Estandar
96,24,18/07/2024,25/07/2024,Tarjeta,Enviado,Estandar
97,532,29/07/2025,03/08/2025,Transferencia,Pendiente,Recogida
98,456,30/11/2024,03/12/2024,Tarjeta,Enviado,Estandar
99,382,24/07/2025,29/07/2025,Transferencia,Pendiente,Estandar
100,1179,12/04/2025,14/04/2025,Contra reembolso,Pendiente,Express
101,1722,13/08/2025,15/08/2025,Transferencia,Entregado,Estandar
102,1939,20/09/2024,24/09/2024,Transferencia,Pendiente,Recogida
103,1824,15/07/2025,19/07/2025,Transferencia,Enviado,Estandar
104,45,05/12/2024,08/12/2024,Transferencia,Enviado,Recogida
105,1916,20/04/2024,23/04/2024,Tarjeta,Entregado,Express
106,1282,29/07/2025,03/08/2025,Contra reembolso,Enviado,Estandar
107,1316,01/05/2025,07/05/2025,Contra reembolso,Pendiente,Estandar
108,2070,09/07/2025,15/07/2025,Transferencia,Enviado,Estandar
109,1697,24/04/2025,29/04/2025,Tarjeta,Entregado,Express
110,1217,26/12/2023,02/01/2024,Tarjeta,Entregado,Express
111,1862,19/07/2025,26/07/2025,Contra reembolso,Enviado,Estandar
112,1016,26/05/2025,31/05/2025,Transferencia,Enviado,Recogida
113,556,18/07/2025,21/07/2025,Contra reembolso,Pendiente,Express
114,1765,09/12/2024,13/12/2024,Tarjeta,Entregado,Express
115,1638,04/04/2025,06/04/2025,Contra reembolso,Enviado,Recogida
116,241,24/06/2025,28/06/2025,Contra reembolso,Entregado,Express
117,1814,27/05/2025,29/05/2025,Transferencia,Enviado,Estandar
118,61,21/12/2023,26/12/2023,Tarjeta,Entregado,Recogida
119,2198,12/08/2025,15/08/2025,Transferencia,Pendiente,Recogida
120,956,10/08/2025,15/08/2025,Tarjeta,Enviado,Recogida
121,1262,10/05/2025,16/05/2025,Transferencia,Pendiente,Express
122,2464,29/03/2025,05/04/2025,Tarjeta,Pendiente,Express
123,1393,06/08/2025,12/08/2025,Transferencia,Pendiente,Estandar
124,1139,02/05/2024,09/05/2024,Tarjeta,Pendiente,Recogida
125,2207,27/01/2025,29/01/2025,Transferencia,Enviado,Recogida
126,1111,07/08/2025,14/08/2025,Tarjeta,Entregado,Estandar
127,2380,22/04/2024,29/04/2024,Contra reembolso,Pendiente,Recogida
128,197,31/07/2025,03/08/2025,Tarjeta,Entregado,Recogida
129,2157,10/12/2023,14/12/2023,Tarjeta,Entregado,Estandar
130,1717,16/08/2024,22/08/2024,Tarjeta,Enviado,Recogida
131,1577,29/03/2025,31/03/2025,Tarjeta,Enviado,Express
132,718,03/05/2025,08/05/2025,Tarjeta,Entregado,Express
133,2138,05/08/2025,12/08/2025,Transferencia,Pendiente,Estandar
134,585,04/08/2025,08/08/2025,Tarjeta,Entregado,Express
135,1879,22/02/2024,26/02/2024,Tarjeta,Pendiente,Estandar
136,1304,07/11/2024,10/11/2024,Contra reembolso,Enviado,Estandar
137,1801,15/03/2025,19/03/2025,Transferencia,Entregado,Estandar
138,487,04/08/2025,08/08/2025,Contra reembolso,Entregado,Express
139,1652,07/12/2024,12/12/2024,Contra reembolso,Entregado,Recogida
140,553,12/07/2024,19/07/2024,Tarjeta,Enviado,Estandar
141,725,03/06/2025,06/06/2025,Transferencia,Enviado,Recogida
142,1638,23/07/2025,29/07/2025,Contra reembolso,Enviado,Recogida
143,1031,01/11/2024,07/11/2024,Tarjeta,Pendiente,Express
144,517,08/07/2025,13/07/2025,Tarjeta,Pendiente,Estandar
145,1911,23/06/2025,28/06/2025,Tarjeta,Entregado,Recogida
146,930,25/10/2024,27/10/2024,Transferencia,Entregado,Recogida
147,837,09/06/2025,15/06/2025,Contra reembolso,Enviado,Express
148,2213,15/06/2025,20/06/2025,Contra reembolso,Enviado,Recogida
149,228,09/10/2024,15/10/2024,Tarjeta,Pendiente,Express
150,420,09/05/2025,15/05/2025,Transferencia,Entregado,Recogida
151,540,31/12/2024,02/01/2025,Tarjeta,Enviado,Recogida
152,1365,01/07/2025,06/07/2025,Tarjeta,Entregado,Recogida
153,924,12/08/2025,14/08/2025,Contra reembolso,Pendiente,Express
154,735,07/08/2025,09/08/2025,Tarjeta,Entregado,Express
155,1272,04/08/2025,08/08/2025,Transferencia,Enviado,Recogida
156,1927,06/05/2025,11/05/2025,Transferencia,Pendiente,Recogida
157,2283,19/09/2024,23/09/2024,Tarjeta,Enviado,Recogida
158,1098,11/03/2025,15/03/2025,Transferencia,Pendiente,Express
159,1451,06/08/2024,12/08/2024,Tarjeta,Enviado,Express
160,480,12/04/2025,17/04/2025,Tarjeta,Entregado,Express
161,1132,26/07/2025,28/07/2025,Tarjeta,Entregado,Recogida
162,2229,24/05/2025,30/05/2025,Transferencia,Entregado,Express
163,51,22/03/2024,25/03/2024,Transferencia,Enviado,Estandar
164,820,30/07/2025,01/08/2025,Tarjeta,Entregado,Express
165,2071,03/08/2025,10/08/2025,Contra reembolso,Entregado,Express
166,482,11/04/2025,17/04/2025,Contra reembolso,Entregado,Estandar
167,2201,11/03/2025,15/03/2025,Contra reembolso,Enviado,Recogida
168,988,29/07/2025,01/08/2025,Contra reembolso,Pendiente,Estandar
169,1117,09/07/2025,13/07/2025,Contra reembolso,Enviado,Express
170,261,15/05/2025,19/05/2025,Transferencia,Entregado,Estandar
171,2361,01/01/2025,06/01/2025,Tarjeta,Enviado,Estandar
172,2190,23/05/2025,27/05/2025,Tarjeta,Pendiente,Express
173,171,10/08/2025,15/08/2025,Transferencia,Pendiente,Express
174,2175,09/03/2025,16/03/2025,Tarjeta,Entregado,Recogida
175,972,14/07/2025,21/07/2025,Tarjeta,Pendiente,Express
176,1885,20/03/2024,24/03/2024,Contra reembolso,Enviado,Recogida
177,1899,03/03/2025,07/03/2025,Transferencia,Enviado,Recogida
178,2478,12/05/2025,16/05/2025,Contra reembolso,Enviado,Express
179,2245,01/06/2024,07/06/2024,Transferencia,Enviado,Recogida
180,688,22/12/2024,28/12/2024,Contra reembolso,Enviado,Estandar
181,1290,06/06/2024,13/06/2024,Transferencia,Enviado,Estandar
182,1733,14/04/2025,16/04/2025,Transferencia,Pendiente,Express
183,112,08/05/2025,10/05/2025,Transferencia,Pendiente,Recogida
184,370,06/12/2024,11/12/2024,Transferencia,Pendiente,Express
185,1260,22/03/2025,27/03/2025,Contra reembolso,Enviado,Estandar
186,1308,19/12/2024,26/12/2024,Transferencia,Pendiente,Recogida
187,2358,22/12/2024,28/12/2024,Transferencia,Enviado,Recogida
188,798,06/11/2024,10/11/2024,Contra reembolso,Entregado,Express
189,761,07/07/2024,10/07/2024,Contra reembolso,Entregado,Express
190,1475,08/01/2025,13/01/2025,Transferencia,Pendiente,Estandar
191,546,22/12/2024,25/12/2024,Contra reembolso,Enviado,Express
192,1885,24/10/2024,29/10/2024,Contra reembolso,Entregado,Recogida
193,654,26/07/2024,29/07/2024,Contra reembolso,Entregado,Express
194,1030,21/07/2025,28/07/2025,Tarjeta,Pendiente,Express
195,2491,06/10/2024,08/10/2024,Contra reembolso,Enviado,Express
196,1813,30/01/2025,03/02/2025,Transferencia,Entregado,Recogida
197,1772,20/03/2024,27/03/2024,Contra reembolso,Pendiente,Estandar
198,1224,12/08/2025,19/08/2025,Transferencia,Pendiente,Express
199,976,09/10/2024,14/10/2024,Tarjeta,Enviado,Recogida
200,1938,24/03/2025,31/03/2025,Transferencia,Entregado,Estandar
201,1939,01/01/2024,05/01/2024,Contra reembolso,Pendiente,Express
202,782,07/12/2024,13/12/2024,Contra reembolso,Enviado,Recogida
203,428,11/07/2025,17/07/2025,Tarjeta,Entregado,Recogida
204,1291,19/05/2025,23/05/2025,Tarjeta,Enviado,Recogida
205,540,02/01/2024,09/01/2024,Tarjeta,Entregado,Express
206,428,18/06/2025,22/06/2025,Contra reembolso,Enviado,Recogida
207,670,20/07/2025,23/07/2025,Tarjeta,Entregado,Recogida
208,2065,08/06/2025,15/06/2025,Transferencia,Pendiente,Recogida
209,2139,04/11/2024,06/11/2024,Transferencia,Entregado,Estandar
210,1916,25/01/2024,01/02/2024,Contra reembolso,Entregado,Recogida
211,1585,16/04/2025,19/04/2025,Contra reembolso,Entregado,Estandar
212,1822,06/05/2025,09/05/2025,Tarjeta,Enviado,Estandar
213,577,16/12/2024,21/12/2024,Tarjeta,Enviado,Express
214,2075,06/04/2025,11/04/2025,Transferencia,Enviado,Express
215,1583,28/04/2025,04/05/2025,Transferencia,Enviado,Recogida
216,718,15/03/2025,19/03/2025,Transferencia,Enviado,Estandar
217,1304,22/06/2025,27/06/2025,Tarjeta,Entregado,Estandar
218,249,28/09/2024,01/10/2024,Tarjeta,Entregado,Express
219,915,07/09/2023,09/09/2023,Contra reembolso,Enviado,Recogida
220,50,05/12/2023,11/12/2023,Transferencia,Entregado,Estandar
221,1108,10/08/2025,16/08/2025,Tarjeta,Enviado,Express
222,1547,02/07/2025,09/07/2025,Transferencia,Enviado,Recogida
223,913,02/06/2024,08/06/2024,Transferencia,Entregado,Estandar
224,1028,02/08/2025,06/08/2025,Tarjeta,Entregado,Estandar
225,574,23/06/2025,27/06/2025,Contra reembolso,Enviado,Recogida
226,630,01/03/2025,03/03/2025,Tarjeta,Pendiente,Recogida
227,2104,01/06/2025,06/06/2025,Contra reembolso,Enviado,Recogida
228,1133,03/01/2025,05/01/2025,Contra reembolso,Enviado,Estandar
229,1477,05/07/2025,12/07/2025,Contra reembolso,Enviado,Recogida
230,2419,21/06/2025,24/06/2025,Contra reembolso,Entregado,Recogida
231,2170,07/08/2025,09/08/2025,Transferencia,Entregado,Recogida
232,2307,10/08/2025,14/08/2025,Transferencia,Entregado,Recogida
233,111,07/02/2025,10/02/2025,Tarjeta,Pendiente,Express
234,1909,10/08/2025,15/08/2025,Contra reembolso,Enviado,Recogida
235,2231,06/03/2025,12/03/2025,Contra reembolso,Entregado,Estandar
236,2089,10/02/2025,16/02/2025,Contra reembolso,Entregado,Express
237,1684,10/08/2024,13/08/2024,Contra reembolso,Pendiente,Estandar
238,619,08/03/2024,11/03/2024,Contra reembolso,Enviado,Recogida
239,2469,29/07/2025,31/07/2025,Contra reembolso,Enviado,Recogida
240,2323,08/07/2025,15/07/2025,Contra reembolso,Entregado,Recogida
241,1590,07/02/2024,14/02/2024,Contra reembolso,Pendiente,Estandar
242,1971,03/06/2025,06/06/2025,Contra reembolso,Entregado,Estandar
243,1861,10/04/2025,12/04/2025,Tarjeta,Entregado,Express
244,2094,04/01/2025,10/01/2025,Transferencia,Entregado,Recogida
245,1995,06/07/2025,11/07/2025,Tarjeta,Entregado,Estandar
246,1394,09/07/2025,16/07/2025,Tarjeta,Entregado,Express
247,1148,25/07/2025,29/07/2025,Tarjeta,Enviado,Express
248,1322,09/08/2025,11/08/2025,Tarjeta,Enviado,Recogida
249,2203,09/06/2024,11/06/2024,Tarjeta,Pendiente,Recogida
250,1202,02/06/2025,04/06/2025,Tarjeta,Enviado,Recogida
251,854,13/08/2025,15/08/2025,Transferencia,Entregado,Express
252,2086,20/01/2024,25/01/2024,Contra reembolso,Entregado,Estandar
253,1358,26/12/2024,01/01/2025,Transferencia,Entregado,Recogida
254,1528,27/06/2025,29/06/2025,Contra reembolso,Enviado,Recogida
255,1575,06/07/2025,11/07/2025,Contra reembolso,Enviado,Express
256,1161,25/12/2024,01/01/2025,Tarjeta,Entregado,Express
257,316,03/03/2024,09/03/2024,Contra reembolso,Pendiente,Express
258,2420,16/02/2025,20/02/2025,Contra reembolso,Pendiente,Recogida
259,989,23/01/2025,26/01/2025,Tarjeta,Pendiente,Express
260,773,16/01/2025,21/01/2025,Transferencia,Enviado,Express
261,1702,09/04/2025,14/04/2025,Transferencia,Pendiente,Estandar
262,132,30/07/2025,02/08/2025,Tarjeta,Pendiente,Recogida
263,856,04/05/2025,11/05/2025,Transferencia,Enviado,Recogida
264,1943,24/06/2024,29/06/2024,Contra reembolso,Pendiente,Express
265,111,25/07/2025,31/07/2025,Tarjeta,Pendiente,Estandar
266,1544,25/07/2025,27/07/2025,Tarjeta,Entregado,Express
267,1462,13/06/2024,20/06/2024,Contra reembolso,Enviado,Recogida
268,1077,08/02/2025,10/02/2025,Transferencia,Entregado,Estandar
269,733,15/07/2025,22/07/2025,Transferencia,Enviado,Estandar
270,2251,30/08/2024,04/09/2024,Transferencia,Pendiente,Estandar
271,1532,09/12/2023,16/12/2023,Transferencia,Enviado,Recogida
272,1876,16/09/2024,22/09/2024,Contra reembolso,Enviado,Recogida
273,1806,16/02/2025,21/02/2025,Contra reembolso,Enviado,Express
274,2165,27/10/2024,31/10/2024,Contra reembolso,Pendiente,Estandar
275,997,18/06/2025,20/06/2025,Transferencia,Pendiente,Recogida
276,1025,10/06/2025,13/06/2025,Transferencia,Enviado,Recogida
277,1661,02/01/2025,09/01/2025,Contra reembolso,Enviado,Express
278,585,22/09/2024,27/09/2024,Contra reembolso,Entregado,Estandar
279,804,06/08/2025,08/08/2025,Transferencia,Pendiente,Estandar
280,1373,14/01/2025,21/01/2025,Tarjeta,Entregado,Express
281,112,29/12/2024,03/01/2025,Transferencia,Enviado,Estandar
282,2412,10/11/2024,16/11/2024,Tarjeta,Pendiente,Estandar
283,2405,13/08/2025,16/08/2025,Tarjeta,Entregado,Estandar
284,113,29/07/2025,31/07/2025,Contra reembolso,Entregado,Recogida
285,851,03/05/2024,07/05/2024,Contra reembolso,Enviado,Estandar
286,2118,17/12/2023,22/12/2023,Tarjeta,Pendiente,Estandar
287,1366,24/03/2025,27/03/2025,Tarjeta,Enviado,Estandar
288,224,08/12/2024,15/12/2024,Contra reembolso,Enviado,Estandar
289,1477,21/03/2025,24/03/2025,Contra reembolso,Enviado,Estandar
290,2305,25/03/2024,27/03/2024,Transferencia,Enviado,Express
291,1707,11/09/2024,16/09/2024,Transferencia,Pendiente,Express
292,1614,02/04/2025,07/04/2025,Contra reembolso,Enviado,Recogida
293,1671,27/05/2024,30/05/2024,Contra reembolso,Entregado,Recogida
294,618,06/05/2025,10/05/2025,Tarjeta,Enviado,Express
295,1714,05/05/2025,08/05/2025,Contra reembolso,Entregado,Recogida
296,1346,12/08/2025,18/08/2025,Contra reembolso,Enviado,Estandar
297,317,24/03/2025,29/03/2025,Tarjeta,Enviado,Estandar
298,242,05/10/2024,10/10/2024,Contra reembolso,Pendiente,Estandar
299,1975,29/04/2025,05/05/2025,Contra reembolso,Pendiente,Recogida
300,502,21/02/2025,25/02/2025,Transferencia,Pendiente,Recogida
301,674,06/08/2025,11/08/2025,Contra reembolso,Enviado,Express
302,2346,16/02/2025,20/02/2025,Contra reembolso,Entregado,Estandar
303,1570,05/08/2025,12/08/2025,Transferencia,Entregado,Express
304,105,03/05/2025,08/05/2025,Contra reembolso,Entregado,Estandar
305,441,30/05/2025,02/06/2025,Transferencia,Entregado,Estandar
306,2465,01/08/2025,05/08/2025,Contra reembolso,Entregado,Estandar
307,1114,29/07/2025,01/08/2025,Transferencia,Entregado,Express
308,255,22/06/2025,24/06/2025,Transferencia,Enviado,Recogida
309,1641,09/10/2023,11/10/2023,Transferencia,Entregado,Recogida
310,488,24/03/2025,29/03/2025,Contra reembolso,Pendiente,Recogida
311,1010,05/07/2025,09/07/2025,Tarjeta,Pendiente,Estandar
312,809,24/06/2025,26/06/2025,Transferencia,Pendiente,Recogida
313,406,08/07/2025,15/07/2025,Tarjeta,Enviado,Estandar
314,67,04/05/2024,07/05/2024,Transferencia,Enviado,Recogida
315,362,18/03/2025,22/03/2025,Tarjeta,Pendiente,Estandar
316,1756,21/03/2025,24/03/2025,Contra reembolso,Pendiente,Estandar
317,622,02/08/2025,04/08/2025,Transferencia,Enviado,Estandar
318,1375,23/07/2025,26/07/2025,Transferencia,Pendiente,Express
319,1278,04/06/2025,06/06/2025,Tarjeta,Pendiente,Recogida
320,1131,27/09/2024,03/10/2024,Contra reembolso,Enviado,Express
321,1396,28/07/2025,02/08/2025,Transferencia,Enviado,Recogida
322,1597,09/06/2025,14/06/2025,Tarjeta,Entregado,Express
323,456,18/10/2024,21/10/2024,Tarjeta,Enviado,Recogida
324,1687,01/08/2025,06/08/2025,Contra reembolso,Entregado,Estandar
325,456,22/08/2024,24/08/2024,Transferencia,Entregado,Estandar
326,1163,21/02/2025,23/02/2025,Contra reembolso,Enviado,Express
327,378,22/07/2025,24/07/2025,Contra reembolso,Entregado,Express
328,1815,29/11/2023,02/12/2023,Tarjeta,Entregado,Recogida
329,120,10/05/2025,13/05/2025,Contra reembolso,Pendiente,Estandar
330,1179,05/07/2025,12/07/2025,Transferencia,Pendiente,Express
331,518,18/07/2025,24/07/2025,Tarjeta,Entregado,Express
332,718,22/05/2025,24/05/2025,Contra reembolso,Entregado,Recogida
333,473,23/03/2024,30/03/2024,Tarjeta,Pendiente,Estandar
334,1525,08/03/2025,14/03/2025,Contra reembolso,Enviado,Recogida
335,3,14/07/2025,19/07/2025,Contra reembolso,Enviado,Recogida
336,628,03/08/2025,09/08/2025,Contra reembolso,Entregado,Express
337,1592,11/06/2025,15/06/2025,Transferencia,Enviado,Estandar
338,1304,30/12/2024,02/01/2025,Transferencia,Enviado,Estandar
339,240,22/12/2024,25/12/2024,Transferencia,Pendiente,Recogida
340,1633,31/05/2025,06/06/2025,Contra reembolso,Pendiente,Recogida
341,577,26/04/2024,30/04/2024,Tarjeta,Pendiente,Express
342,1879,31/03/2024,04/04/2024,Contra reembolso,Pendiente,Express
343,674,07/08/2025,11/08/2025,Transferencia,Pendiente,Estandar
344,1193,24/07/2024,28/07/2024,Tarjeta,Pendiente,Estandar
345,573,28/03/2025,03/04/2025,Transferencia,Enviado,Estandar
346,725,20/07/2025,22/07/2025,Transferencia,Entregado,Estandar
347,945,09/07/2025,15/07/2025,Tarjeta,Entregado,Estandar
348,2362,01/04/2025,04/04/2025,Contra reembolso,Pendiente,Estandar
349,753,22/03/2024,29/03/2024,Contra reembolso,Entregado,Express
350,1510,28/07/2025,01/08/2025,Contra reembolso,Enviado,Estandar
351,340,05/08/2025,10/08/2025,Contra reembolso,Entregado,Express
352,485,18/01/2025,24/01/2025,Transferencia,Enviado,Estandar
353,1713,17/07/2025,19/07/2025,Tarjeta,Pendiente,Recogida
354,226,03/07/2025,08/07/2025,Contra reembolso,Pendiente,Recogida
355,838,19/07/2025,23/07/2025,Tarjeta,Pendiente,Estandar
356,566,16/11/2024,21/11/2024,Contra reembolso,Entregado,Recogida
357,789,09/08/2025,11/08/2025,Tarjeta,Pendiente,Recogida
358,2313,12/07/2025,19/07/2025,Tarjeta,Pendiente,Recogida
359,1412,13/08/2025,19/08/2025,Contra reembolso,Entregado,Recogida
360,2036,06/08/2025,11/08/2025,Transferencia,Entregado,Estandar
361,125,19/07/2025,24/07/2025,Transferencia,Pendiente,Recogida
362,1295,01/09/2024,05/09/2024,Tarjeta,Pendiente,Express
363,2095,04/08/2025,08/08/2025,Contra reembolso,Enviado,Estandar
364,1667,18/04/2025,25/04/2025,Tarjeta,Enviado,Estandar
365,1728,13/11/2024,16/11/2024,Transferencia,Enviado,Recogida
366,1104,21/06/2025,24/06/2025,Tarjeta,Pendiente,Recogida
367,1521,06/06/2024,08/06/2024,Tarjeta,Pendiente,Estandar
368,26,24/09/2024,28/09/2024,Transferencia,Enviado,Recogida
369,1855,29/04/2024,05/05/2024,Contra reembolso,Pendiente,Estandar
370,2325,12/07/2025,19/07/2025,Contra reembolso,Enviado,Express
371,1824,02/08/2025,04/08/2025,Transferencia,Pendiente,Express
372,18,05/09/2024,07/09/2024,Tarjeta,Pendiente,Estandar
373,2122,12/08/2025,16/08/2025,Contra reembolso,Enviado,Estandar
374,94,16/10/2024,22/10/2024,Tarjeta,Entregado,Recogida
375,2456,14/09/2024,17/09/2024,Tarjeta,Entregado,Express
376,882,15/04/2025,19/04/2025,Tarjeta,Entregado,Estandar
377,450,02/03/2025,07/03/2025,Transferencia,Entregado,Recogida
378,2146,16/02/2025,23/02/2025,Contra reembolso,Entregado,Recogida
379,251,29/03/2025,02/04/2025,Tarjeta,Enviado,Estandar
380,2085,21/06/2025,25/06/2025,Tarjeta,Entregado,Estandar
381,1310,09/09/2024,13/09/2024,Contra reembolso,Pendiente,Estandar
382,1652,12/08/2024,18/08/2024,Transferencia,Enviado,Express
383,421,28/01/2025,02/02/2025,Contra reembolso,Entregado,Recogida
384,2330,07/07/2025,13/07/2025,Transferencia,Enviado,Express
385,171,08/05/2025,15/05/2025,Transferencia,Pendiente,Express
386,981,21/07/2025,24/07/2025,Contra reembolso,Entregado,Recogida
387,1743,13/12/2024,18/12/2024,Contra reembolso,Enviado,Recogida
388,646,01/06/2025,06/06/2025,Tarjeta,Enviado,Express
389,516,07/08/2024,13/08/2024,Transferencia,Enviado,Express
390,2230,16/01/2025,21/01/2025,Tarjeta,Pendiente,Recogida
391,475,16/10/2024,18/10/2024,Contra reembolso,Enviado,Estandar
392,252,18/01/2025,20/01/2025,Transferencia,Pendiente,Estandar
393,1142,28/11/2024,01/12/2024,Tarjeta,Enviado,Recogida
